Protein,RNA,Label
Q9C0J8,AC062032.1,1
Q9C0J8,AC064834.1,1
Q9C0J8,AC067960.1,1
Q9C0J8,AC068057.2,1
Q9C0J8,AC068196.1,1
Q9C0J8,AC068286.1,1
Q14103,AC068473.1,1
Q9C0J8,AC068483.1,1
Q9C0J8,AC068489.1,1
Q9C0J8,AC068831.6,1
Q9C0J8,AC068858.1,1
Q9C0J8,AC069155.1,1
Q9C0J8,AC069287.1,1
Q9C0J8,AC072062.1,1
Q9C0J8,AC073071.1,1
Q9C0J8,AC073130.1,1
Q9C0J8,AC073130.3,1
Q9C0J8,AC073133.1,1
Q9C0J8,AC073218.2,1
Q9C0J8,AC073254.1,1
Q9C0J8,AC073257.1,1
Q9C0J8,AC073316.1,1
Q9C0J8,AC073325.1,1
Q9C0J8,AC073869.7,1
Q9C0J8,AC073987.1,1
P55265,AC074286.1,1
Q9C0J8,AC074286.1,1
Q9C0J8,AC078851.1,1
Q9C0J8,AC078882.1,1
Q9C0J8,AC078883.3,1
Q9C0J8,AC079117.1,1
Q9C0J8,AC079154.1,1
Q9C0J8,AC079584.2,1
P14866,AC079610.1,1
Q9C0J8,AC079610.1,1
Q9C0J8,AC079779.4,1
Q9C0J8,AC079799.2,1
Q9C0J8,AC079896.1,1
P14866,AC083799.1,1
Q9C0J8,AC083799.1,1
Q9C0J8,AC083843.1,1
Q9C0J8,AC083843.2,1
Q9C0J8,AC083864.3,1
Q9C0J8,AC083900.1,1
Q9C0J8,AC083949.1,1
Q93062,AC084018.1,1
Q9C0J8,AC084125.4,1
Q9C0J8,AC084809.2,1
Q9C0J8,AC087392.1,1
Q9C0J8,AC087501.1,1
Q9C0J8,AC090044.1,1
P55265,AC090103.1,1
Q9C0J8,AC090103.1,1
Q9C0J8,AC090425.1,1
Q9C0J8,AC091133.1,1
Q9C0J8,AC091153.4,1
Q9C0J8,AC092159.2,1
P14866,AC092168.2,1
P55265,AC092168.2,1
Q9C0J8,AC092168.2,1
Q93062,AC092171.1,1
Q9C0J8,AC092198.1,1
Q93062,AC092296.1,1
Q14103,AC092329.1,1
Q9C0J8,AC092484.1,1
P14866,AC092620.2,1
Q9C0J8,AC092620.2,1
Q9C0J8,AC092620.3,1
Q9C0J8,AC092652.1,1
Q14103,AC093158.1,1
Q9C0J8,AC093159.1,1
Q9C0J8,AC093382.1,1
Q9C0J8,AC093390.1,1
P14866,AC093484.4,1
Q9C0J8,AC093484.4,1
Q9C0J8,AC093510.1,1
Q93062,AC093510.2,1
Q14103,AC093510.2,1
Q9C0J8,AC093627.7,1
Q9C0J8,AC093639.1,1
Q9C0J8,AC093734.1,1
Q93062,AC093799.1,1
Q14103,AC093799.1,1
Q9C0J8,AC093843.1,1
Q9C0J8,AC096554.1,1
Q9C0J8,AC096558.1,1
Q9C0J8,AC096559.1,1
Q9C0J8,AC096570.1,1
Q9C0J8,AC096570.2,1
Q9C0J8,AC096649.1,1
Q9C0J8,AC096669.1,1
Q9C0J8,AC097359.2,1
Q9C0J8,AC098617.1,1
Q9C0J8,AC098820.2,1
Q9C0J8,AC098820.3,1
Q9C0J8,AC098828.2,1
Q9C0J8,AC099342.1,1
Q9C0J8,AC099344.2,1
Q9C0J8,AC099344.3,1
Q9C0J8,AC099850.1,1
Q9C0J8,AC100791.1,1
Q9C0J8,AC100830.3,1
Q14103,AC103810.2,1
Q9C0J8,AC104088.1,1
Q9C0J8,AC104623.2,1
Q9C0J8,AC104695.3,1
Q9C0J8,AC104699.1,1
Q9C0J8,AC104777.1,1
Q9C0J8,AC104777.2,1
Q9C0J8,AC104984.4,1
P14866,AC105206.1,1
Q9C0J8,AC105206.1,1
Q9C0J8,AC105760.2,1
Q9C0J8,AC106053.1,1
Q9C0J8,AC106786.1,1
Q9C0J8,AC106874.1,1
Q9C0J8,AC107072.2,1
Q9C0J8,AC107079.1,1
Q9C0J8,AC108051.1,1
Q9C0J8,AC108066.1,1
Q9C0J8,AC108142.1,1
Q9C0J8,AC108463.2,1
Q9C0J8,AC108676.1,1
Q14103,AC110491.1,1
Q9C0J8,AC112200.1,1
Q9C0J8,AC112721.2,1
Q9C0J8,AC113167.1,1
P55265,AC113607.1,1
Q9C0J8,AC113607.1,1
Q9C0J8,AC114763.1,1
Q9C0J8,AC116609.1,1
Q9C0J8,AC116609.2,1
Q9C0J8,AC116614.1,1
Q9C0J8,AC118345.1,1
Q9C0J8,AC123768.4,1
Q9C0J8,AC124861.1,1
Q9C0J8,AC125421.1,1
Q9C0J8,AC126365.1,1
Q9C0J8,AC128709.2,1
Q9C0J8,AC128709.3,1
Q9C0J8,AC130710.1,1
Q9C0J8,AC131097.3,1
Q9UKA9,AC131097.3,1
Q9C0J8,AC132807.1,1
Q9C0J8,AC135050.5,1
P55265,AC138035.2,1
Q93062,AC139530.1,1
Q9C0J8,AC139887.4,1
P55265,AC141586.5,1
Q9C0J8,AC141586.5,1
Q9C0J8,AC144450.1,1
Q9C0J8,AC144521.1,1
Q9C0J8,AC144836.1,1
Q93062,AC145098.1,1
Q9C0J8,AC147651.1,1
Q9C0J8,AC147651.3,1
Q9C0J8,AC156455.1,1
Q93062,AC156455.1,1
Q9C0J8,AC159540.1,1
P14866,ACAP2-IT1,1
P55265,ACAP2-IT1,1
Q9C0J8,ACAP2-IT1,1
Q9C0J8,ACTA2-AS1,1
Q9C0J8,ACTN1-AS1,1
Q9C0J8,ACVR2B-AS1,1
Q9C0J8,ADAMTS19-AS1,1
Q9C0J8,ADAMTS9-AS1,1
P55265,ADAMTS9-AS2,1
Q9C0J8,ADAMTS9-AS2,1
Q9C0J8,ADARB2-AS1,1
Q9C0J8,ADIPOQ-AS1,1
P55265,ADORA2A-AS1,1
Q9C0J8,ADORA2A-AS1,1
Q9C0J8,ADPGK-AS1,1
Q9C0J8,AF038458.3,1
Q9C0J8,AF096876.1,1
P14866,AF131215.3,1
P55265,AF131215.3,1
Q9C0J8,AF131215.3,1
Q9C0J8,AF131215.4,1
Q9C0J8,AF131215.6,1
Q9C0J8,AF230666.2,1
Q9C0J8,AGAP1-IT1,1
Q9C0J8,AGBL1-AS1,1
P14866,AGBL4-IT1,1
Q9C0J8,AGBL4-IT1,1
P55265,AGBL5-IT1,1
Q9C0J8,AIRN,1
Q9C0J8,AKT3-IT1,1
Q9C0J8,AL021068.1,1
P14866,AL021707.1,1
Q9C0J8,AL021707.1,1
Q93062,AL022069.1,1
Q9C0J8,AL022341.1,1
Q9C0J8,AL109763.1,1
Q93062,AL137003.1,1
Q14103,AL137003.1,1
Q93062,AL139022.1,1
Q14103,AL139022.1,1
Q9C0J8,AL139385.1,1
P14866,AL139819.1,1
Q9C0J8,AL139819.1,1
Q9C0J8,AL157871.2,1
Q9C0J8,AL162497.1,1
Q93062,AL354696.2,1
P14866,AL356740.1,1
Q9C0J8,AL356740.1,1
Q9C0J8,AL450992.2,1
Q9C0J8,AL512652.1,1
Q9C0J8,AL513327.1,1
Q9C0J8,AL589743.1,1
Q9C0J8,AL589986.2,1
P55265,AL590369.1,1
Q9C0J8,AL590369.1,1
Q9C0J8,AL592528.1,1
Q93062,AL645568.1,1
Q9C0J8,AL928654.1,1
Q9C0J8,ALDH1L1-AS1,1
Q9C0J8,ALDH1L1-AS2,1
P14866,ALG9-IT1,1
Q9C0J8,ALG9-IT1,1
P55265,ALKBH3-AS1,1
Q9C0J8,ALKBH3-AS1,1
P14866,ALMS1-IT1,1
Q9C0J8,ALMS1-IT1,1
Q9C0J8,AMMECR1-IT1,1
P14866,ANKRD10-IT1,1
P55265,ANKRD10-IT1,1
Q9C0J8,ANKRD10-IT1,1
P14866,ANKRD44-IT1,1
P55265,ANKRD44-IT1,1
Q9C0J8,ANKRD44-IT1,1
Q9C0J8,AP000221.1,1
Q9C0J8,AP000253.1,1
Q9C0J8,AP000265.1,1
Q96PU8,AP000265.1,1
Q9C0J8,AP000281.2,1
Q9C0J8,AP000345.2,1
Q9C0J8,AP000356.2,1
Q9C0J8,AP000432.2,1
Q9C0J8,AP000439.2,1
Q9C0J8,AP000442.1,1
Q9C0J8,AP000462.2,1
Q9C0J8,AP000477.2,1
Q9C0J8,AP000640.2,1
Q9C0J8,AP000770.1,1
Q9C0J8,AP000797.3,1
P14866,AP000936.1,1
Q9C0J8,AP000936.1,1
Q9C0J8,AP000962.2,1
Q9C0J8,AP000997.1,1
Q9C0J8,AP000997.2,1
P14866,AP001007.1,1
Q9C0J8,AP001029.1,1
Q9C0J8,AP001043.1,1
Q9C0J8,AP001057.1,1
Q9C0J8,AP001065.2,1
Q9C0J8,AP001172.2,1
Q9C0J8,AP001372.2,1
Q9C0J8,AP001429.1,1
Q9C0J8,AP001471.1,1
Q9C0J8,AP001619.2,1
Q9C0J8,AP001626.1,1
Q9C0J8,AP002381.2,1
Q9C0J8,AP002387.1,1
Q93062,AP002478.2,1
Q9C0J8,AP003025.2,1
Q9C0J8,AP003471.1,1
Q9C0J8,AP004550.1,1
Q9C0J8,AP005273.1,1
Q9C0J8,AP005530.1,1
Q9C0J8,AP006621.5,1
Q9C0J8,AP006748.1,1
P55265,AP4B1-AS1,1
Q9C0J8,AP4B1-AS1,1
Q9C0J8,AQP4-AS1,1
Q9C0J8,ARAP1-AS1,1
Q9C0J8,ARHGAP22-IT1,1
Q9C0J8,ARHGAP26-AS1,1
Q9C0J8,ARHGAP26-IT1,1
Q9C0J8,ARHGAP31-AS1,1
Q9C0J8,ARHGAP5-AS1,1
P55265,ARHGEF26-AS1,1
Q9C0J8,ARHGEF26-AS1,1
P55265,ARHGEF38-IT1,1
Q9C0J8,ARHGEF38-IT1,1
Q9C0J8,ARHGEF3-AS1,1
Q9C0J8,ARHGEF7-AS1,1
Q9C0J8,ARHGEF7-AS2,1
Q96PU8,ARHGEF7-AS2,1
Q9C0J8,ARHGEF7-IT1,1
Q9C0J8,ARHGEF9-IT1,1
Q9C0J8,ARMCX3-AS1,1
Q9C0J8,ASB16-AS1,1
Q9C0J8,ASH1L-AS1,1
Q9C0J8,ASH1L-IT1,1
P55265,ASMTL-AS1,1
Q9C0J8,ATP11A-AS1,1
Q9C0J8,ATP1B3-AS1,1
Q9C0J8,ATP2B2-IT2,1
P55265,ATP6V0E2-AS1,1
Q9C0J8,ATP6V0E2-AS1,1
P55265,ATXN8OS,1
Q9C0J8,ATXN8OS,1
Q9C0J8,B4GALT4-AS1,1
Q9C0J8,BACE1-AS,1
Q9C0J8,BACE2-IT1,1
Q9C0J8,BACH1-IT1,1
Q9C0J8,BACH1-IT2,1
Q9C0J8,BACH1-IT3,1
Q9C0J8,BCAR4,1
P55265,BCDIN3D-AS1,1
Q9C0J8,BCDIN3D-AS1,1
P55265,BDNF-AS,1
Q9C0J8,BDNF-AS,1
Q9C0J8,BHLHE40-AS1,1
Q5T481,BMS1P4,1
Q9C0J8,BOK-AS1,1
Q9C0J8,BOLA3-AS1,1
Q9C0J8,BPESC1,1
Q86V81,BREA2,1
Q9C0J8,BRWD1-AS1,1
P14866,BRWD1-IT1,1
Q9C0J8,BRWD1-IT1,1
Q9C0J8,BVES-AS1,1
Q9C0J8,C10orf91,1
P14866,C16orf97,1
Q9C0J8,C16orf97,1
Q9C0J8,C1orf143,1
Q9C0J8,C1RL-AS1,1
P14866,C21orf91-OT1,1
Q9C0J8,C21orf91-OT1,1
P14866,C22orf24,1
Q9C0J8,C22orf24,1
Q9C0J8,C22orf34,1
P14866,C3orf35,1
Q9C0J8,C3orf35,1
Q9C0J8,C5orf56,1
P14866,C5orf64,1
P55265,C5orf64,1
Q9C0J8,C5orf64,1
P55265,C8orf31,1
Q9C0J8,C8orf31,1
Q9C0J8,C9orf147,1
P55265,CACNA1C-AS1,1
Q9C0J8,CACNA1C-AS1,1
Q9C0J8,CACNA1C-AS3,1
Q9C0J8,CACNA1C-IT1,1
P14866,CACNA1C-IT3,1
P55265,CACNA1C-IT3,1
Q9C0J8,CACNA1C-IT3,1
Q9C0J8,CACNA1G-AS1,1
Q9C0J8,CACTIN-AS1,1
Q9C0J8,CADM2-AS1,1
Q9C0J8,CADM2-AS2,1
Q9C0J8,CAHM,1
Q9C0J8,CALML3-AS1,1
Q9C0J8,CAMTA1-IT1,1
Q9C0J8,CARS-AS1,1
Q9C0J8,CASC16,1
Q9C0J8,CASC2,1
Q9C0J8,CASC9,1
Q8TB72,CASK-AS1,1
Q9C0J8,CBR3-AS1,1
P55265,CCDC13-AS1,1
Q9C0J8,CCDC13-AS1,1
Q9C0J8,CCDC148-AS1,1
Q9C0J8,CCDC26,1
Q9C0J8,CCDC39-AS1,1
P55265,CD27-AS1,1
Q9C0J8,CD27-AS1,1
P14866,CDC42-IT1,1
P55265,CDC42-IT1,1
Q9C0J8,CDC42-IT1,1
P55265,CDKN2B-AS1,1
Q9C0J8,CDKN2B-AS1,1
Q9C0J8,CECR3,1
Q9C0J8,CELF2-AS2,1
Q9C0J8,CERS6-AS1,1
Q9C0J8,CFLAR-AS1,1
Q9C0J8,CHL1-AS1,1
P55265,CHODL-AS1,1
Q9C0J8,CHODL-AS1,1
Q9C0J8,CHRM3-AS2,1
Q9C0J8,CIRBP-AS1,1
P55265,CLDN10-AS1,1
Q9C0J8,CLDN10-AS1,1
P14866,CLLU1,1
Q9C0J8,CLLU1,1
P55265,CLRN1-AS1,1
Q9C0J8,CLRN1-AS1,1
Q9C0J8,CLYBL-AS1,1
Q9C0J8,CNTN4-AS1,1
P55265,CNTN4-AS2,1
Q9C0J8,CNTN4-AS2,1
Q93062,CNTN4-AS2,1
Q9C0J8,COL5A1-AS1,1
P55265,COX10-AS1,1
Q9C0J8,COX10-AS1,1
P55265,CPB2-AS1,1
Q9C0J8,CPB2-AS1,1
Q5T481,CPS1-IT1,1
Q9C0J8,CRNDE,1
Q5T481,CRNDE,1
Q9C0J8,CTC-338M12.4,1
Q96PU8,CTC-338M12.4,1
Q9C0J8,CTD-2194D22.4,1
Q9C0J8,CTD-2201I18.1,1
P14866,CTD-2270F17.1,1
Q9C0J8,CTD-2270F17.1,1
Q9C0J8,CTD-2297D10.2,1
Q9C0J8,CTD-3080P12.3,1
P14866,CYB561D2,1
Q9C0J8,CYB561D2,1
Q9C0J8,CYP1B1-AS1,1
Q9UKA9,CYP1B1-AS1,1
Q9C0J8,CYP4A22-AS1,1
P55265,DACT3-AS1,1
Q9C0J8,DACT3-AS1,1
P55265,DANCR,1
Q9C0J8,DANCR,1
P55265,DAOA-AS1,1
Q9C0J8,DAOA-AS1,1
Q9C0J8,DBH-AS1,1
Q9C0J8,DCTN1-AS1,1
Q9C0J8,DCUN1D2-AS,1
Q9C0J8,DDX11-AS1,1
Q9C0J8,DDX39B-AS1,1
P55265,DENND5B-AS1,1
Q9C0J8,DENND5B-AS1,1
Q9C0J8,DGUOK-AS1,1
Q9C0J8,DHRS4-AS1,1
Q9C0J8,DIAPH2-AS1,1
P55265,DIAPH3-AS1,1
Q9C0J8,DIAPH3-AS1,1
P55265,DIAPH3-AS2,1
Q9C0J8,DIAPH3-AS2,1
P55265,DICER1-AS1,1
Q9C0J8,DICER1-AS1,1
Q96PU8,DICER1-AS1,1
P55265,DIO2-AS1,1
Q9C0J8,DIO2-AS1,1
Q9C0J8,DIO3OS,1
Q9C0J8,DIP2A-IT1,1
P55265,DIRC3,1
Q9C0J8,DIRC3,1
Q9C0J8,DISC1FP1,1
P14866,DISC1-IT1,1
P55265,DISC1-IT1,1
Q9C0J8,DISC1-IT1,1
P55265,DLEU1,1
Q9C0J8,DLEU1,1
P55265,DLEU2,1
Q9C0J8,DLEU2,1
Q8TB72,DLEU2,1
Q93062,DLEU2,1
Q5T481,DLEU2,1
Q9C0J8,DLEU7-AS1,1
Q9C0J8,DLG1-AS1,1
Q9C0J8,DLGAP1-AS1,1
Q9C0J8,DLGAP1-AS2,1
P55265,DLGAP1-AS3,1
Q9C0J8,DLGAP1-AS3,1
Q9C0J8,DLGAP1-AS4,1
Q9C0J8,DLGAP1-AS5,1
P55265,DLX6-AS1,1
Q9C0J8,DLX6-AS1,1
Q9C0J8,DMD-AS3,1
Q9C0J8,DNAJB8-AS1,1
P55265,DNAJC27-AS1,1
Q9C0J8,DNAJC27-AS1,1
Q6ZN17,DNM1P35,1
Q9C0J8,DNM1P35,1
P55265,DNMBP-AS1,1
