Protein,RNA,Label
30680456,AthlncRNA32,1
42571149,AthlncRNA32,1
15223768,AthlncRNA32,1
15233167,AthlncRNA32,1
42572443,AthlncRNA32,1
15232459,AthlncRNA32,1
15229743,AthlncRNA32,1
15218972,AthlncRNA32,1
15221761,AthlncRNA32,1
15224217,AthlncRNA32,1
15224366,AthlncRNA32,1
15226605,AthlncRNA32,1
22328624,AthlncRNA32,1
15218779,AthlncRNA32,1
18423684,AthlncRNA32,1
15234010,AthlncRNA32,1
15237716,AthlncRNA32,1
15240641,AthlncRNA32,1
15241028,AthlncRNA32,1
18398061,AthlncRNA32,1
15228098,AthlncRNA32,1
18400210,AthlncRNA32,1
18410591,AthlncRNA32,1
15227722,AthlncRNA32,1
18410591,AthlncRNA328,1
22328551,AthlncRNA328,1
30694526,AthlncRNA328,1
30694529,AthlncRNA328,1
22328551,AthlncRNA340,1
15229884,AthlncRNA340,1
22328551,AthlncRNA345,1
22328551,AthlncRNA376,1
18400210,AthlncRNA376,1
15221761,AthlncRNA376,1
15229321,AthlncRNA376,1
42571149,AthlncRNA376,1
30694529,AthlncRNA376,1
30694526,AthlncRNA376,1
30682553,AthlncRNA376,1
30680456,AthlncRNA376,1
22328624,AthlncRNA376,1
18423684,AthlncRNA376,1
18410591,AthlncRNA376,1
18398061,AthlncRNA376,1
15240641,AthlncRNA376,1
15237716,AthlncRNA376,1
15229884,AthlncRNA376,1
22328551,AthlncRNA62,1
18410591,AthlncRNA62,1
30694526,AthlncRNA62,1
30694529,AthlncRNA62,1
22329999,AthlncRNA64,1
15229884,AthlncRNA64,1
18398061,AthlncRNA64,1
18410591,AthlncRNA64,1
22328551,AthlncRNA64,1
30680456,AthlncRNA64,1
30694526,AthlncRNA64,1
30694529,AthlncRNA64,1
15229321,AthlncRNA64,1
15229884,AthlncRNA78,1
22328551,AthlncRNA32,0
22328551,AthlncRNA78,0
79326195,AthlncRNA10,0
79326195,AthlncRNA113,0
79326195,AthlncRNA172,0
79326195,AthlncRNA218,0
79326195,AthlncRNA227,0
79326195,AthlncRNA269,0
79326195,AthlncRNA270,0
79326195,AthlncRNA314,0
79326195,AthlncRNA328,0
79326195,AthlncRNA340,0
79326195,AthlncRNA345,0
79326195,AthlncRNA376,0
79326195,AthlncRNA62,0
79326195,AthlncRNA64,0
79326195,AthlncRNA78,0
15232459,AthlncRNA10,0
15232459,AthlncRNA113,0
15232459,AthlncRNA172,0
15232459,AthlncRNA218,0
15232459,AthlncRNA269,0
15232459,AthlncRNA270,0
15232459,AthlncRNA314,0
15232459,AthlncRNA328,0
15232459,AthlncRNA340,0
15232459,AthlncRNA345,0
15232459,AthlncRNA376,0
15232459,AthlncRNA62,0
15232459,AthlncRNA64,0
15232459,AthlncRNA78,0
22329999,AthlncRNA10,0
22329999,AthlncRNA113,0
22329999,AthlncRNA172,0
22329999,AthlncRNA218,0
22329999,AthlncRNA269,0
22329999,AthlncRNA270,0
22329999,AthlncRNA314,0
22329999,AthlncRNA328,0
22329999,AthlncRNA340,0
22329999,AthlncRNA345,0
22329999,AthlncRNA376,0
22329999,AthlncRNA62,0
22329999,AthlncRNA78,0
15218779,AthlncRNA10,0
15218779,AthlncRNA113,0
15218779,AthlncRNA172,0
15218779,AthlncRNA269,0
15218779,AthlncRNA270,0
15218779,AthlncRNA314,0
15218779,AthlncRNA328,0
15218779,AthlncRNA340,0
15218779,AthlncRNA345,0
15218779,AthlncRNA376,0
15218779,AthlncRNA62,0
15218779,AthlncRNA64,0
15218779,AthlncRNA78,0
15233167,AthlncRNA10,0
15233167,AthlncRNA113,0
15233167,AthlncRNA172,0
15233167,AthlncRNA218,0
15233167,AthlncRNA269,0
15233167,AthlncRNA270,0
15233167,AthlncRNA314,0
15233167,AthlncRNA328,0
15233167,AthlncRNA340,0
15233167,AthlncRNA345,0
15233167,AthlncRNA376,0
15233167,AthlncRNA62,0
15233167,AthlncRNA64,0
15233167,AthlncRNA78,0
22330665,AthlncRNA10,0
22330665,AthlncRNA113,0
22330665,AthlncRNA172,0
22330665,AthlncRNA218,0
22330665,AthlncRNA269,0
22330665,AthlncRNA270,0
22330665,AthlncRNA314,0
22330665,AthlncRNA328,0
22330665,AthlncRNA340,0
22330665,AthlncRNA345,0
22330665,AthlncRNA376,0
22330665,AthlncRNA62,0
22330665,AthlncRNA64,0
22330665,AthlncRNA78,0
15218972,AthlncRNA10,0
15218972,AthlncRNA113,0
15218972,AthlncRNA172,0
15218972,AthlncRNA218,0
15218972,AthlncRNA227,0
15218972,AthlncRNA269,0
15218972,AthlncRNA270,0
15218972,AthlncRNA314,0
15218972,AthlncRNA328,0
15218972,AthlncRNA340,0
15218972,AthlncRNA345,0
15218972,AthlncRNA376,0
15218972,AthlncRNA62,0
15218972,AthlncRNA64,0
15218972,AthlncRNA78,0
15234010,AthlncRNA10,0
15234010,AthlncRNA113,0
15234010,AthlncRNA172,0
15234010,AthlncRNA218,0
15234010,AthlncRNA269,0
15234010,AthlncRNA270,0
15234010,AthlncRNA314,0
15234010,AthlncRNA328,0
15234010,AthlncRNA340,0
15234010,AthlncRNA345,0
15234010,AthlncRNA376,0
15234010,AthlncRNA62,0
15234010,AthlncRNA64,0
15234010,AthlncRNA78,0
30678085,AthlncRNA10,0
30678085,AthlncRNA113,0
30678085,AthlncRNA172,0
30678085,AthlncRNA218,0
30678085,AthlncRNA269,0
30678085,AthlncRNA270,0
30678085,AthlncRNA314,0
30678085,AthlncRNA328,0
30678085,AthlncRNA340,0
30678085,AthlncRNA345,0
30678085,AthlncRNA376,0
30678085,AthlncRNA62,0
30678085,AthlncRNA64,0
30678085,AthlncRNA78,0
15221761,AthlncRNA10,0
15221761,AthlncRNA113,0
15221761,AthlncRNA172,0
15221761,AthlncRNA218,0
15221761,AthlncRNA269,0
15221761,AthlncRNA270,0
15221761,AthlncRNA314,0
15221761,AthlncRNA328,0
15221761,AthlncRNA340,0
15221761,AthlncRNA345,0
15221761,AthlncRNA62,0
15221761,AthlncRNA64,0
15221761,AthlncRNA78,0
15237716,AthlncRNA10,0
15237716,AthlncRNA113,0
15237716,AthlncRNA172,0
15237716,AthlncRNA218,0
15237716,AthlncRNA227,0
B4F8A7,ZmalncRNA484,1
B4F8L8,ZmalncRNA484,1
B4FB39,ZmalncRNA484,1
B4FBV8,ZmalncRNA484,1
B4FGK8,ZmalncRNA484,1
B4FHE9,ZmalncRNA484,1
B4FLX0,ZmalncRNA484,1
B6SXV2,ZmalncRNA484,1
B6T6H4,ZmalncRNA484,1
B7ZXJ1,ZmalncRNA484,1
B8A0M3,ZmalncRNA484,1
B8A134,ZmalncRNA484,1
B8A2G7,ZmalncRNA484,1
B8A305,ZmalncRNA484,1
C0P3W2,ZmalncRNA484,1
C0P6Q4,ZmalncRNA484,1
C0P8S9,ZmalncRNA484,1
C0PF88,ZmalncRNA484,1
C0PFQ6,ZmalncRNA484,1
C0PLI2,ZmalncRNA484,1
C4IYC2,ZmalncRNA484,1
C4J3A0,ZmalncRNA484,1
C4J594,ZmalncRNA484,1
Q41834,ZmalncRNA484,1
B4F8A7,ZmalncRNA557,1
B4F8L8,ZmalncRNA557,1
B4FB39,ZmalncRNA557,1
B4FBV8,ZmalncRNA557,1
B4FCE3,ZmalncRNA557,1
B4FGK8,ZmalncRNA557,1
B4FHE9,ZmalncRNA557,1
B4FLX0,ZmalncRNA557,1
B4FNR5,ZmalncRNA557,1
B4FPJ2,ZmalncRNA557,1
B4FSW0,ZmalncRNA557,1
B6SIF0,ZmalncRNA557,1
B6SXV2,ZmalncRNA557,1
B6TDJ0,ZmalncRNA557,1
B6TP60,ZmalncRNA557,1
B6U471,ZmalncRNA557,1
B8A0M3,ZmalncRNA557,1
B8A2G7,ZmalncRNA557,1
B8A305,ZmalncRNA557,1
C0P6Q4,ZmalncRNA557,1
C0P8S9,ZmalncRNA557,1
C0PLI2,ZmalncRNA557,1
C4IYC2,ZmalncRNA557,1
C4J3A0,ZmalncRNA557,1
Q41834,ZmalncRNA557,1
B7ZXJ1,ZmalncRNA557,1
B4F8A7,ZmalncRNA567,1
B4F8L8,ZmalncRNA567,1
B4FB39,ZmalncRNA567,1
B4FBV8,ZmalncRNA567,1
B4FCE3,ZmalncRNA567,1
B4FLX0,ZmalncRNA567,1
B4FNR5,ZmalncRNA567,1
B4FPJ2,ZmalncRNA567,1
B4FSW0,ZmalncRNA567,1
B6SIF0,ZmalncRNA567,1
B6SP74,ZmalncRNA567,1
B6SXV2,ZmalncRNA567,1
B6T6E9,ZmalncRNA567,1
B6TDJ0,ZmalncRNA567,1
B6U471,ZmalncRNA567,1
B7ZXJ1,ZmalncRNA567,1
B8A2G7,ZmalncRNA567,1
C0P6Q4,ZmalncRNA567,1
C0PLI2,ZmalncRNA567,1
C4IYC2,ZmalncRNA567,1
Q41834,ZmalncRNA567,1
B4F8A7,ZmalncRNA603,1
B4F8L8,ZmalncRNA603,1
B4FCE3,ZmalncRNA603,1
B4FGK8,ZmalncRNA603,1
B4FHE9,ZmalncRNA603,1
B4FNR5,ZmalncRNA603,1
B4FPJ2,ZmalncRNA603,1
B4FSW0,ZmalncRNA603,1
B6SXV2,ZmalncRNA603,1
B6TDJ0,ZmalncRNA603,1
B8A0M3,ZmalncRNA603,1
B8A134,ZmalncRNA603,1
B8A2G7,ZmalncRNA603,1
B8A305,ZmalncRNA603,1
C0P6Q4,ZmalncRNA603,1
C0P8S9,ZmalncRNA603,1
C0PLI2,ZmalncRNA603,1
C4IYC2,ZmalncRNA603,1
Q41834,ZmalncRNA603,1
C0P6Q4,ZmalncRNA609,1
C0PF88,ZmalncRNA609,1
B4FHE9,ZmalncRNA644,1
B6SXV2,ZmalncRNA644,1
B6T6H4,ZmalncRNA644,1
B8A0M3,ZmalncRNA644,1
C0P3W2,ZmalncRNA644,1
C0PF88,ZmalncRNA644,1
C0PFQ6,ZmalncRNA644,1
C4J594,ZmalncRNA644,1
B4F8A7,ZmalncRNA647,1
B4F8L8,ZmalncRNA647,1
B4FB39,ZmalncRNA647,1
B4FBV8,ZmalncRNA647,1
B4FCE3,ZmalncRNA647,1
B4FGK8,ZmalncRNA647,1
B4FHE9,ZmalncRNA647,1
B4FLX0,ZmalncRNA647,1
B4FNR5,ZmalncRNA647,1
B4FPJ2,ZmalncRNA647,1
B4FSW0,ZmalncRNA647,1
B6SIF0,ZmalncRNA647,1
B6SP74,ZmalncRNA647,1
B6SXV2,ZmalncRNA647,1
B6T6E9,ZmalncRNA647,1
B6T6H4,ZmalncRNA647,1
B6TDJ0,ZmalncRNA647,1
B6TP60,ZmalncRNA647,1
B6U471,ZmalncRNA647,1
B7ZXJ1,ZmalncRNA647,1
B8A2G7,ZmalncRNA647,1
C0P558,ZmalncRNA647,1
C0P6Q4,ZmalncRNA647,1
C0P8S9,ZmalncRNA647,1
C0PF88,ZmalncRNA647,1
C0PLI2,ZmalncRNA647,1
C4IYC2,ZmalncRNA647,1
C4J3A0,ZmalncRNA647,1
B4F8L8,ZmalncRNA649,1
B4FGK8,ZmalncRNA649,1
B4FHE9,ZmalncRNA649,1
B4FMA8,ZmalncRNA649,1
B6TJJ4,ZmalncRNA649,1
B6U471,ZmalncRNA649,1
B8A134,ZmalncRNA649,1
B8A2G7,ZmalncRNA649,1
B8A305,ZmalncRNA649,1
C0P488,ZmalncRNA649,1
C0P539,ZmalncRNA649,1
C0P558,ZmalncRNA649,1
C0P8S9,ZmalncRNA649,1
C0PHE3,ZmalncRNA649,1
C0PIH9,ZmalncRNA649,1
C4J3A0,ZmalncRNA649,1
Q41834,ZmalncRNA649,1
B4F8A7,ZmalncRNA657,1
B4F8L8,ZmalncRNA657,1
B4FB39,ZmalncRNA657,1
B4FBV8,ZmalncRNA657,1
B4FCE3,ZmalncRNA657,1
B4FDA8,ZmalncRNA657,1
B4FGK8,ZmalncRNA657,1
B4FLX0,ZmalncRNA657,1
B4FMA8,ZmalncRNA657,1
B4FNR5,ZmalncRNA657,1
B4FPJ2,ZmalncRNA657,1
B4FSW0,ZmalncRNA657,1
B6SIF0,ZmalncRNA657,1
B6SP74,ZmalncRNA657,1
B6T6E9,ZmalncRNA657,1
B6TDJ0,ZmalncRNA657,1
B6TP60,ZmalncRNA657,1
B6U471,ZmalncRNA657,1
B7ZXJ1,ZmalncRNA657,1
B8A2G7,ZmalncRNA657,1
C0P488,ZmalncRNA657,1
C0P6Q4,ZmalncRNA657,1
C0P8S9,ZmalncRNA657,1
C0PIH9,ZmalncRNA657,1
C0PLI2,ZmalncRNA657,1
C4IYC2,ZmalncRNA657,1
C4J3A0,ZmalncRNA657,1
Q41834,ZmalncRNA657,1
B4FGK8,ZmalncRNA711,1
B4FNR5,ZmalncRNA711,1
B4FPJ2,ZmalncRNA711,1
B6SXV2,ZmalncRNA711,1
B8A0M3,ZmalncRNA711,1
B8A134,ZmalncRNA711,1
C0PFQ6,ZmalncRNA711,1
C4J594,ZmalncRNA711,1
B4F8A7,ZmalncRNA731,1
B4F8L8,ZmalncRNA731,1
B4FBV8,ZmalncRNA731,1
B4FPJ2,ZmalncRNA731,1
B8A2G7,ZmalncRNA731,1
Q41834,ZmalncRNA731,1
B4FLX0,ZmalncRNA731,1
B6U471,ZmalncRNA731,1
C0P6Q4,ZmalncRNA731,1
B4FCE3,ZmalncRNA745,1
B4FNR5,ZmalncRNA745,1
B4FPJ2,ZmalncRNA745,1
B6SIF0,ZmalncRNA745,1
B6SP74,ZmalncRNA745,1
B6SXV2,ZmalncRNA745,1
B6TDJ0,ZmalncRNA745,1
C0PFQ6,ZmalncRNA745,1
C0PLI2,ZmalncRNA745,1
C4IYC2,ZmalncRNA745,1
C4J594,ZmalncRNA745,1
B4FHE9,ZmalncRNA684,1
B6SXV2,ZmalncRNA684,1
B8A0M3,ZmalncRNA684,1
C0PFQ6,ZmalncRNA684,1
C4J594,ZmalncRNA684,1
Q41834,ZmalncRNA684,1
B4F8A7,ZmalncRNA824,1
B4FB39,ZmalncRNA824,1
B4FBV8,ZmalncRNA824,1
B4FCE3,ZmalncRNA824,1
B4FDA8,ZmalncRNA824,1
B4FNR5,ZmalncRNA824,1
B4FPJ2,ZmalncRNA824,1
B4FSW0,ZmalncRNA824,1
B6SIF0,ZmalncRNA824,1
B6SP74,ZmalncRNA824,1
B6SXV2,ZmalncRNA824,1
B6T6E9,ZmalncRNA824,1
B6TDJ0,ZmalncRNA824,1
B6TP60,ZmalncRNA824,1
B7ZXJ1,ZmalncRNA824,1
B8A2G7,ZmalncRNA824,1
C0P8S9,ZmalncRNA824,1
C0PLI2,ZmalncRNA824,1
C4IYC2,ZmalncRNA824,1
B4F8A7,ZmalncRNA797,1
B4FCE3,ZmalncRNA797,1
B4FGK8,ZmalncRNA797,1
B4FHE9,ZmalncRNA797,1
B4FNR5,ZmalncRNA797,1
B4FPJ2,ZmalncRNA797,1
B4FSW0,ZmalncRNA797,1
B6SP74,ZmalncRNA797,1
B6SXV2,ZmalncRNA797,1
B6TJJ4,ZmalncRNA797,1
B6TP60,ZmalncRNA797,1
B8A0M3,ZmalncRNA797,1
B8A305,ZmalncRNA797,1
C0P3W2,ZmalncRNA797,1
C0PF88,ZmalncRNA797,1
C0PFQ6,ZmalncRNA797,1
C0PIH9,ZmalncRNA797,1
C0PLI2,ZmalncRNA797,1
C4IYC2,ZmalncRNA797,1
C4J594,ZmalncRNA797,1
B4F8A7,ZmalncRNA901,1
B4FGK8,ZmalncRNA901,1
B4FHE9,ZmalncRNA901,1
B4FNR5,ZmalncRNA901,1
B4FPJ2,ZmalncRNA901,1
B4FSW0,ZmalncRNA901,1
B6SXV2,ZmalncRNA901,1
B6TP60,ZmalncRNA901,1
B8A0M3,ZmalncRNA901,1
B8A134,ZmalncRNA901,1
C0P6Q4,ZmalncRNA901,1
C0PFQ6,ZmalncRNA901,1
C4IYC2,ZmalncRNA901,1
C4J594,ZmalncRNA901,1
B4F8L8,ZmalncRNA950,1
B4FGK8,ZmalncRNA950,1
B4FHE9,ZmalncRNA950,1
B4FLX0,ZmalncRNA950,1
B6SXV2,ZmalncRNA950,1
B6T6H4,ZmalncRNA950,1
B8A134,ZmalncRNA950,1
C0P3W2,ZmalncRNA950,1
C0P539,ZmalncRNA950,1
C0P8S9,ZmalncRNA950,1
C0PF88,ZmalncRNA950,1
C0PFQ6,ZmalncRNA950,1
C0PHE3,ZmalncRNA950,1
C4J594,ZmalncRNA950,1
Q41834,ZmalncRNA950,1
C0PFQ6,ZmalncRNA979,1
B4FGK8,ZmalncRNA916,1
B8A0M3,ZmalncRNA916,1
B4F8L8,ZmalncRNA1033,1
B4FGK8,ZmalncRNA1033,1
B4FHE9,ZmalncRNA1033,1
B4FLX0,ZmalncRNA1033,1
B4FMA8,ZmalncRNA1033,1
B6TJJ4,ZmalncRNA1033,1
B7ZXJ1,ZmalncRNA1033,1
B8A2G7,ZmalncRNA1033,1
B8A305,ZmalncRNA1033,1
C0P3W2,ZmalncRNA1033,1
C0P488,ZmalncRNA1033,1
C0P558,ZmalncRNA1033,1
C0PF88,ZmalncRNA1033,1
C0PIH9,ZmalncRNA1033,1
Q41834,ZmalncRNA1033,1
B4F8L8,ZmalncRNA1154,1
B4FDA8,ZmalncRNA1154,1
B4FGK8,ZmalncRNA1154,1
B4FHE9,ZmalncRNA1154,1
B4FLX0,ZmalncRNA1154,1
B4FNR5,ZmalncRNA1154,1
B4FSW0,ZmalncRNA1154,1
B6SXV2,ZmalncRNA1154,1
B6T6H4,ZmalncRNA1154,1
B8A0M3,ZmalncRNA1154,1
B8A134,ZmalncRNA1154,1
B8A305,ZmalncRNA1154,1
C0P3W2,ZmalncRNA1154,1
C0P488,ZmalncRNA1154,1
C0P539,ZmalncRNA1154,1
C0P6Q4,ZmalncRNA1154,1
C0P8S9,ZmalncRNA1154,1
C0PF88,ZmalncRNA1154,1
C0PFQ6,ZmalncRNA1154,1
C0PHE3,ZmalncRNA1154,1
C4IYC2,ZmalncRNA1154,1
C4J594,ZmalncRNA1154,1
Q41834,ZmalncRNA1154,1
B4F8A7,ZmalncRNA1349,1
B4FGK8,ZmalncRNA1349,1
B4FHE9,ZmalncRNA1349,1
B4FLX0,ZmalncRNA1349,1
B4FNR5,ZmalncRNA1349,1
B4FPJ2,ZmalncRNA1349,1
B6SXV2,ZmalncRNA1349,1
B8A0M3,ZmalncRNA1349,1
C0P6Q4,ZmalncRNA1349,1
C0P8S9,ZmalncRNA1349,1
C0PFQ6,ZmalncRNA1349,1
C0PIH9,ZmalncRNA1349,1
C4IYC2,ZmalncRNA1349,1
C4J3A0,ZmalncRNA1349,1
Q41834,ZmalncRNA1349,1
B4F8L8,ZmalncRNA1349,1
B4FCE3,ZmalncRNA1349,1
B4FSW0,ZmalncRNA1349,1
B8A2G7,ZmalncRNA1349,1
C0PLI2,ZmalncRNA1349,1
B4FB39,ZmalncRNA1349,1
B8A134,ZmalncRNA1349,1
B6TP60,ZmalncRNA1349,1
B6SIF0,ZmalncRNA1349,1
B6T6E9,ZmalncRNA1349,1
B6TDJ0,ZmalncRNA1349,1
B6U471,ZmalncRNA1349,1
B4FBV8,ZmalncRNA1349,1
C4J594,ZmalncRNA259,1
B4F8L8,ZmalncRNA1369,1
B4FBV8,ZmalncRNA1369,1
B4FHE9,ZmalncRNA1369,1
B4FLX0,ZmalncRNA1369,1
B7ZXJ1,ZmalncRNA1369,1
C0P3W2,ZmalncRNA1369,1
C4J594,ZmalncRNA1369,1
Q41834,ZmalncRNA1369,1
B4F8A7,ZmalncRNA1392,1
B4FGK8,ZmalncRNA1392,1
B6SXV2,ZmalncRNA1392,1
B8A0M3,ZmalncRNA1392,1
C0P6Q4,ZmalncRNA1392,1
C0PFQ6,ZmalncRNA1392,1
B4FNR5,ZmalncRNA1392,1
B4FPJ2,ZmalncRNA1392,1
C4IYC2,ZmalncRNA1392,1
C4J3A0,ZmalncRNA1392,1
Q41834,ZmalncRNA1392,1
B4FB39,ZmalncRNA1392,1
B4FSW0,ZmalncRNA1392,1
B6TDJ0,ZmalncRNA1392,1
B4F8A7,ZmalncRNA1490,1
B4FGK8,ZmalncRNA1490,1
B8A0M3,ZmalncRNA1490,1
B4FPJ2,ZmalncRNA1490,1
C0P6Q4,ZmalncRNA1490,1
Q41834,ZmalncRNA1490,1
B6SXV2,ZmalncRNA1490,1
C4J3A0,ZmalncRNA1490,1
B6TDJ0,ZmalncRNA1490,1
B8A2G7,ZmalncRNA1490,1
B4F8A7,ZmalncRNA1427,1
B4F8L8,ZmalncRNA1427,1
B4FB39,ZmalncRNA1427,1
B4FBV8,ZmalncRNA1427,1
B4FCE3,ZmalncRNA1427,1
B4FGK8,ZmalncRNA1427,1
B4FHE9,ZmalncRNA1427,1
B4FLX0,ZmalncRNA1427,1
B4FNR5,ZmalncRNA1427,1
B4FPJ2,ZmalncRNA1427,1
B4FSW0,ZmalncRNA1427,1
B6SIF0,ZmalncRNA1427,1
B6SXV2,ZmalncRNA1427,1
B6TDJ0,ZmalncRNA1427,1
B6TP60,ZmalncRNA1427,1
B6U471,ZmalncRNA1427,1
B7ZXJ1,ZmalncRNA1427,1
B8A0M3,ZmalncRNA1427,1
B8A134,ZmalncRNA1427,1
B8A2G7,ZmalncRNA1427,1
B8A305,ZmalncRNA1427,1
C0P6Q4,ZmalncRNA1427,1
C0P8S9,ZmalncRNA1427,1
C0PIH9,ZmalncRNA1427,1
C0PLI2,ZmalncRNA1427,1
C4IYC2,ZmalncRNA1427,1
C4J3A0,ZmalncRNA1427,1
Q41834,ZmalncRNA1427,1
C4J594,ZmalncRNA466,1
B4F8A7,ZmalncRNA1599,1
B4F8L8,ZmalncRNA1599,1
B4FCE3,ZmalncRNA1599,1
B4FLX0,ZmalncRNA1599,1
B4FNR5,ZmalncRNA1599,1
B4FPJ2,ZmalncRNA1599,1
B4FSW0,ZmalncRNA1599,1
B6SP74,ZmalncRNA1599,1
B6SXV2,ZmalncRNA1599,1
B7ZXJ1,ZmalncRNA1599,1
B8A2G7,ZmalncRNA1599,1
C0PLI2,ZmalncRNA1599,1
C4IYC2,ZmalncRNA1599,1
Q41834,ZmalncRNA1599,1
C4J594,ZmalncRNA424,1
C0PFQ6,ZmalncRNA1677,1
C0PFQ6,ZmalncRNA1629,1
C4J594,ZmalncRNA1629,1
B4F8A7,ZmalncRNA174,0
B4F8A7,ZmalncRNA259,0
B4F8A7,ZmalncRNA424,0
B4F8A7,ZmalncRNA466,0
B4F8A7,ZmalncRNA515,0
B4F8A7,ZmalncRNA516,0
B4F8A7,ZmalncRNA609,0
B4F8A7,ZmalncRNA644,0
B4F8A7,ZmalncRNA649,0
B4F8A7,ZmalncRNA653,0
B4F8A7,ZmalncRNA684,0
B4F8A7,ZmalncRNA711,0
B4F8A7,ZmalncRNA745,0
B4F8A7,ZmalncRNA796,0
B4F8A7,ZmalncRNA888,0
B4F8A7,ZmalncRNA916,0
B4F8A7,ZmalncRNA917,0
B4F8A7,ZmalncRNA932,0
B4F8A7,ZmalncRNA950,0
B4F8A7,ZmalncRNA961,0
B4F8A7,ZmalncRNA979,0
B4F8A7,ZmalncRNA1028,0
B4F8A7,ZmalncRNA1033,0
B4F8A7,ZmalncRNA1055,0
B4F8A7,ZmalncRNA1073,0
B4F8A7,ZmalncRNA1132,0
B4F8A7,ZmalncRNA1154,0
B4F8A7,ZmalncRNA1172,0
B4F8A7,ZmalncRNA1182,0
B4F8A7,ZmalncRNA1197,0
B4F8A7,ZmalncRNA1360,0
B4F8A7,ZmalncRNA1369,0
B4F8A7,ZmalncRNA1460,0
B4F8A7,ZmalncRNA1482,0
B4F8A7,ZmalncRNA1514,0
B4F8A7,ZmalncRNA1546,0
B4F8A7,ZmalncRNA1556,0
B4F8A7,ZmalncRNA1629,0
B4F8A7,ZmalncRNA1650,0
B4F8A7,ZmalncRNA1677,0
B4F8A7,ZmalncRNA1686,0
B4F8A7,ZmalncRNA1698,0
B4F8L8,ZmalncRNA174,0
B4F8L8,ZmalncRNA259,0
B4F8L8,ZmalncRNA424,0
B4F8L8,ZmalncRNA466,0
B4F8L8,ZmalncRNA515,0
B4F8L8,ZmalncRNA516,0
B4F8L8,ZmalncRNA609,0
B4F8L8,ZmalncRNA644,0
B4F8L8,ZmalncRNA653,0
B4F8L8,ZmalncRNA684,0
B4F8L8,ZmalncRNA711,0
B4F8L8,ZmalncRNA745,0
B4F8L8,ZmalncRNA796,0
B4F8L8,ZmalncRNA797,0
B4F8L8,ZmalncRNA824,0
B4F8L8,ZmalncRNA888,0
B4F8L8,ZmalncRNA901,0
B4F8L8,ZmalncRNA916,0
B4F8L8,ZmalncRNA917,0
B4F8L8,ZmalncRNA932,0
B4F8L8,ZmalncRNA961,0
B4F8L8,ZmalncRNA979,0
B4F8L8,ZmalncRNA1028,0
B4F8L8,ZmalncRNA1055,0
B4F8L8,ZmalncRNA1073,0
B4F8L8,ZmalncRNA1132,0
B4F8L8,ZmalncRNA1172,0
B4F8L8,ZmalncRNA1182,0
B4F8L8,ZmalncRNA1197,0
B4F8L8,ZmalncRNA1360,0
B4F8L8,ZmalncRNA1392,0
B4F8L8,ZmalncRNA1460,0
B4F8L8,ZmalncRNA1482,0
B4F8L8,ZmalncRNA1490,0
B4F8L8,ZmalncRNA1514,0
B4F8L8,ZmalncRNA1546,0
B4F8L8,ZmalncRNA1556,0
B4F8L8,ZmalncRNA1629,0
B4F8L8,ZmalncRNA1650,0
B4F8L8,ZmalncRNA1677,0
B4F8L8,ZmalncRNA1686,0
B4F8L8,ZmalncRNA1698,0
B4FB39,ZmalncRNA174,0
B4FB39,ZmalncRNA259,0
B4FB39,ZmalncRNA424,0
B4FB39,ZmalncRNA466,0
B4FB39,ZmalncRNA515,0
B4FB39,ZmalncRNA516,0
